sequence	time_seconds	time_nseconds	orientation_x	orientation_y	orientation_z	orientation_w	angular_velocity_x	angular_velocity_y	angular_velocity_z	linear_acceleration_x	linear_acceleration_y	linear_acceleration_z	mag_x	mag_y	mag_z
17076	302	280000000	2.623441831951771e-20	-6.386268168320773e-20	-5.3311021036301964e-18	1.0	-5.494951088609909e-15	-9.148844802165987e-11	-2.8823084655292504e-13	-6.22162262797317e-15	-2.5681422462392066e-15	9.800000000001697	0.5000000000000001	5.285662758193778e-18	-0.8687723602598316
17077	302	300000000	2.5303585275634925e-20	-6.124824357227943e-20	-5.333187743719529e-18	1.0	0.0	0.0	0.0	7.667453797875667e-17	8.109835307547239e-17	9.8	0.5000000000000001	5.289360648408479e-18	-0.8837240061556054
17078	302	320000000	2.7014425119778442e-20	-6.421927150915065e-20	-5.3352748426534405e-18	1.0	0.0	0.0	0.0	-1.1937375360684982e-16	-8.822235872613442e-17	9.8	0.5000000000000001	5.288484485808721e-18	-0.841598479165324
17079	302	340000000	2.5952533239281218e-20	-6.111136751831739e-20	-5.337360508236443e-18	1.0	0.0	0.0	0.0	1.2371518186834275e-16	-4.654087421031308e-18	9.8	0.5000000000000001	5.292409402080889e-18	-0.8881112486181646
17080	302	360000000	2.6545516543429902e-20	-6.382844430217028e-20	-5.339448245380531e-18	1.0	0.0	0.0	0.0	-7.730836644125809e-17	-5.852313670704991e-17	9.8	0.5000000000000001	5.293470062014152e-18	-0.8475719228535535
17081	302	380000000	2.5805931375082273e-20	-6.389555269380932e-20	-5.341534459924642e-18	1.0	0.0	0.0	0.0	-1.439929864704386e-16	6.396737652774393e-18	9.8	0.5000000000000001	5.296837275646365e-18	-0.8495398851496971
17082	302	400000000	2.605325696890034e-20	-6.278629255526316e-20	-5.343620784246435e-18	1.0	0.0	0.0	0.0	1.327504012768488e-16	-6.444240219647467e-17	9.8	0.5000000000000001	5.298495219473653e-18	-0.8500893828219123
17083	302	420000000	2.6218306029381757e-20	-6.142796684389541e-20	-5.345706598664095e-18	1.0	0.0	0.0	0.0	5.416736118964574e-17	8.040198357707164e-17	9.8	0.5000000000000001	5.300295160532818e-18	-0.8776605266442953
17084	302	440000000	2.6172806905189026e-20	-6.36113990306502e-20	-5.347793079890391e-18	1.0	0.0	0.0	0.0	-9.042496031406169e-17	5.821478441932893e-17	9.8	0.5000000000000001	5.3024604485539154e-18	-0.8641160844187458
17085	302	460000000	2.6971197951137385e-20	-6.251711465205124e-20	-5.349879252989297e-18	1.0	0.0	0.0	0.0	-7.744793914489378e-18	-1.2180057394606834e-16	9.8	0.5000000000000001	5.303163767796931e-18	-0.8679026997903408
17086	302	480000000	2.5710552811222405e-20	-6.233321834380887e-20	-5.351965066231572e-18	1.0	0.0	0.0	0.0	9.029301265464874e-17	7.014205404110933e-17	9.8	0.5000000000000001	5.307433082471853e-18	-0.8545024752397328
17087	302	500000000	2.6773062979335146e-20	-6.18914631092225e-20	-5.3540511887226694e-18	1.0	0.0	0.0	0.0	-2.796409551802211e-17	3.678623986357547e-17	9.8	0.5000000000000001	5.307678883368221e-18	-0.8516471422571266
17088	302	520000000	2.589359748638195e-20	-6.237659874904529e-20	-5.356137575554028e-18	1.0	0.0	0.0	0.0	2.8397894860513016e-18	-2.81565279274203e-17	9.8	0.5000000000000001	5.311288549116878e-18	-0.833533062601537
17089	302	540000000	2.6590535319325244e-20	-6.376398296940023e-20	-5.358224480860266e-18	1.0	0.0	0.0	0.0	-5.728694395908401e-17	-8.561279110751619e-18	9.8	0.5000000000000001	5.3121683226867414e-18	-0.8616367633344261
17090	302	560000000	2.7330579365362935e-20	-6.400486959416819e-20	-5.360310846690687e-18	1.0	0.0	0.0	0.0	-3.616402254157791e-17	-1.092738576930349e-16	9.8	0.5000000000000001	5.3129728946295865e-18	-0.878112682482601
17091	302	580000000	2.5093616681797068e-20	-6.273435913277945e-20	-5.362397409959266e-18	1.0	0.0	0.0	0.0	2.5347776444807827e-17	1.9075204009792414e-16	9.8	0.5000000000000001	5.318933990920737e-18	-0.8848652497465938
17092	302	600000000	2.5918801872050967e-20	-6.207657249686723e-20	-5.364484438697449e-18	1.0	0.0	0.0	0.0	1.0156361818045274e-16	-5.113021327900037e-17	9.8	0.5000000000000001	5.319591756983747e-18	-0.887544358760611
17093	302	620000000	2.688989223945918e-20	-6.245132813866793e-20	-5.36657113715783e-18	1.0	0.0	0.0	0.0	-1.0344004279288522e-16	-7.77502037906357e-17	9.8	0.5000000000000001	5.319996477589037e-18	-0.8626066009679355
17094	302	640000000	2.574180452585168e-20	-6.172400202507342e-20	-5.368657192025408e-18	1.0	0.0	0.0	0.0	1.0142767852125534e-16	7.416834170589105e-17	9.8	0.5000000000000001	5.324071078708128e-18	-0.8477086970080437
17095	302	660000000	2.6081360942132993e-20	-6.260573243277015e-20	-5.370744495298705e-18	1.0	0.0	0.0	0.0	-4.358475202315221e-17	-7.21986694351849e-17	9.8	0.5000000000000001	5.32557025301639e-18	-0.8771836061732865
17096	302	680000000	2.656535215977681e-20	-6.122102721727192e-20	-5.372831142275291e-18	1.0	0.0	0.0	0.0	5.585182803106698e-17	-1.9210326245609088e-17	9.8	0.5000000000000001	5.3268186026136e-18	-0.8678527896657778
17097	302	700000000	2.565731257635219e-20	-6.31561847311516e-20	-5.374917168770854e-18	1.0	0.0	0.0	0.0	-9.645137487668787e-17	1.2349161656679827e-16	9.8	0.5000000000000001	5.330477399802938e-18	-0.8756442830932328
17098	302	720000000	2.6991817442902958e-20	-6.245117451438448e-20	-5.37700369738937e-18	1.0	0.0	0.0	0.0	5.2271206052830295e-17	-1.4855558388198084e-16	9.8	0.5000000000000001	5.33025249818964e-18	-0.8556696446092634
17099	302	740000000	2.639439487332353e-20	-6.246863501081841e-20	-5.3790895007747676e-18	1.0	0.0	0.0	0.0	7.860830311630793e-17	6.706333072546156e-17	9.8	0.5000000000000001	5.3333730678191375e-18	-0.8681659084403273
17100	302	760000000	2.558180975843011e-20	-6.100639800213546e-20	-5.381175350368035e-18	1.0	0.0	0.0	0.0	8.927423443626e-18	1.3807892020689908e-16	9.8	0.5000000000000001	5.3368663561168745e-18	-0.8917938717997627
17101	302	780000000	2.7042122353974232e-20	-6.249521037767447e-20	-5.383261920516726e-18	1.0	0.0	0.0	0.0	-1.2076663972529477e-17	-8.261066962260112e-17	9.8	0.5000000000000001	5.33642359065515e-18	-0.8651243700774145
17102	302	800000000	2.754036191318672e-20	-6.394568374945416e-20	-5.385347788331807e-18	1.0	0.0	0.0	0.0	-1.5556800713467393e-16	-6.123917218097324e-18	9.8	0.5000000000000001	5.337646482239334e-18	-0.8520777602754469
17103	302	820000000	2.6357595594007892e-20	-6.258111171941418e-20	-5.387433855965339e-18	1.0	0.0	0.0	0.0	1.2785345625674867e-16	-9.057830230977775e-17	9.8	0.5000000000000001	5.3417811612311655e-18	-0.8706558606356979
17104	302	840000000	2.6484628941257412e-20	-6.245407853675152e-20	-5.389521093710348e-18	1.0	0.0	0.0	0.0	-4.753749512664702e-17	2.6843510360629752e-17	9.8	0.5000000000000001	5.3436483707644824e-18	-0.8692240137011362
