sequence	time_seconds	time_nseconds	orientation_x	orientation_y	orientation_z	orientation_w	angular_velocity_x	angular_velocity_y	angular_velocity_z	linear_acceleration_x	linear_acceleration_y	linear_acceleration_z	mag_x	mag_y	mag_z
4814	96	380000000	-2.5455913263114752e-20	6.153575052119279e-20	-5.3309976078203784e-18	1.0	0.0	0.0	0.0	1.244216816988451e-14	5.272465944617616e-15	9.8	0.5000000000000001	5.283526378506842e-18	-0.8557367984640525
4815	96	400000000	-2.531451166846411e-20	6.215123448982436e-20	-5.333083563894767e-18	1.0	0.0	0.0	0.0	-4.377104951477505e-17	-4.571491000868931e-18	9.8	0.5000000000000001	5.2875469152788594e-18	-0.8337037548360602
4816	96	420000000	-2.5034166907677587e-20	6.2659881160263e-20	-5.3351704713511755e-18	1.0	0.0	0.0	0.0	1.1368065814869416e-16	-3.830030160795877e-17	9.8	0.5000000000000001	5.287724180223016e-18	-0.8590968063660022
4817	96	440000000	-2.4807155815696005e-20	6.12635110354125e-20	-5.337256358082075e-18	1.0	0.0	0.0	0.0	-1.145581805497201e-16	-4.703438195770069e-18	9.8	0.5000000000000001	5.2916058111880026e-18	-0.8678922413397779
4818	96	460000000	-2.5541372110921082e-20	6.205843367562785e-20	-5.339343673181922e-18	1.0	0.0	0.0	0.0	1.2491077551495321e-16	6.28217032436417e-17	9.8	0.5000000000000001	5.294193950791613e-18	-0.8344302602271321
4819	96	480000000	-2.704282386437143e-20	6.321411965742132e-20	-5.34143031237651e-18	1.0	0.0	0.0	0.0	-1.7002060040778394e-17	-1.9325013356245554e-17	9.8	0.5000000000000001	5.295246010896344e-18	-0.8625994345181431
4820	96	500000000	-2.7594888728306976e-20	6.292265455432511e-20	-5.3435165349438354e-18	1.0	0.0	0.0	0.0	-7.441674457246291e-17	-3.8707082813486593e-17	9.8	0.5000000000000001	5.297320956674009e-18	-0.8634750763566921
4821	96	520000000	-2.6315202712599994e-20	6.202337473555398e-20	-5.345602599771472e-18	1.0	0.0	0.0	0.0	3.317423007748019e-17	3.1487044358875446e-17	9.8	0.5000000000000001	5.296901498231305e-18	-0.8525529918105825
4822	96	540000000	-2.5416513293412217e-20	6.219020920143137e-20	-5.34768880343728e-18	1.0	0.0	0.0	0.0	4.251518149431137e-17	2.2280997361405213e-17	9.8	0.5000000000000001	5.3030403910661865e-18	-0.8640887139508678
4823	96	560000000	-2.5992523546395774e-20	6.245483533742826e-20	-5.349774780697927e-18	1.0	0.0	0.0	0.0	4.242020116992735e-17	-5.830875533114636e-17	9.8	0.5000000000000001	5.304924073635402e-18	-0.8610114622622683
